Age,Income,Spending_Score,Engagement_Level,Purchase_Frequency,Product_Category,Customer_Segment,Met_Target
62,30103,5.54,8,13,Beauty,Low-Value,1
35,102522,83.3,6,26,Groceries,High-Value,1
64,130317,45.78,2,3,Electronics,Low-Value,0
41,116007,25.9,2,29,Clothing,High-Value,0
43,53458,87.87,7,2,Electronics,High-Value,0
42,110605,19.67,5,28,Electronics,High-Value,0
62,102409,94.73,5,23,Furniture,Low-Value,1
58,43248,20.56,8,36,Clothing,Low-Value,1
46,109160,61.37,7,49,Clothing,Medium-Value,1
32,63516,22.31,9,6,Furniture,Medium-Value,1
62,49061,54.57,4,11,Furniture,Low-Value,0
18,44170,68.4,4,38,Electronics,Medium-Value,1
42,28024,19.02,2,34,Groceries,Low-Value,0
24,102214,52.09,3,17,Furniture,Medium-Value,1
26,123792,46.91,1,3,Clothing,High-Value,0
41,105947,7.1,1,44,Clothing,Low-Value,0
18,63803,81.83,7,46,Electronics,Low-Value,1
61,39296,33.57,5,34,Groceries,Low-Value,0
25,111829,57.46,3,22,Beauty,Low-Value,0
41,112708,51.48,7,29,Furniture,Low-Value,1
28,106664,51.33,2,29,Furniture,Low-Value,0
68,38257,10.72,3,5,Electronics,Low-Value,0
34,32855,42.35,1,10,Groceries,High-Value,0
25,105178,45.24,8,10,Clothing,High-Value,1
52,149876,73.36,2,9,Clothing,Medium-Value,1
52,121121,84.0,7,21,Beauty,Low-Value,1
50,143324,54.5,9,13,Clothing,Low-Value,1
22,40025,8.68,6,10,Furniture,Medium-Value,1
59,24458,23.68,2,38,Beauty,Medium-Value,0
56,83610,16.49,2,11,Groceries,High-Value,0
58,90843,12.46,9,4,Beauty,Low-Value,0
45,127237,36.59,8,46,Groceries,Medium-Value,1
24,103961,22.94,9,31,Clothing,Medium-Value,0
26,69831,21.83,4,49,Electronics,High-Value,0
25,63427,5.47,4,34,Beauty,Medium-Value,0
29,113809,1.77,2,42,Beauty,Medium-Value,0
51,58506,10.28,1,35,Furniture,Medium-Value,0
50,25668,17.22,4,39,Furniture,High-Value,0
65,111470,43.1,8,39,Groceries,Low-Value,1
40,67195,51.05,2,33,Electronics,Low-Value,1
41,93233,14.06,8,8,Furniture,Medium-Value,0
54,44417,42.48,1,32,Furniture,Low-Value,0
52,101982,34.17,1,33,Clothing,Medium-Value,0
61,126133,18.34,4,8,Clothing,High-Value,1
57,30751,0.68,7,46,Furniture,Medium-Value,1
39,66218,46.7,9,14,Groceries,Medium-Value,0
44,146649,68.57,5,34,Electronics,Medium-Value,1
52,27352,22.63,2,8,Furniture,High-Value,0
18,99052,13.18,7,42,Groceries,High-Value,0
52,108835,88.7,2,7,Groceries,Medium-Value,1
54,117493,27.5,9,13,Furniture,Medium-Value,1
64,48927,22.36,9,21,Groceries,Low-Value,0
31,61094,85.71,3,47,Beauty,Low-Value,0
20,121948,81.71,8,32,Groceries,Low-Value,1
18,74122,44.83,4,11,Furniture,Low-Value,0
22,49493,48.92,3,14,Groceries,Medium-Value,1
43,112247,21.77,1,11,Furniture,Medium-Value,1
31,93539,7.83,5,2,Clothing,Low-Value,1
56,51707,57.34,4,34,Furniture,High-Value,0
44,88814,9.83,1,44,Groceries,Medium-Value,1
26,27296,44.93,8,47,Furniture,Medium-Value,0
32,45398,94.05,8,17,Electronics,Medium-Value,0
32,55842,95.28,8,14,Furniture,Medium-Value,1
43,33261,23.93,3,25,Furniture,Low-Value,0
59,96709,62.41,6,48,Electronics,Medium-Value,1
30,115985,47.41,7,27,Electronics,Low-Value,1
68,126616,87.57,9,8,Electronics,Medium-Value,1
49,76704,27.14,5,17,Beauty,Low-Value,0
56,87173,0.37,9,5,Furniture,Medium-Value,0
66,51781,16.26,6,12,Electronics,Low-Value,0
69,33652,34.95,4,38,Electronics,Medium-Value,0
49,25103,31.57,1,18,Clothing,Low-Value,0
21,45500,79.14,1,26,Beauty,High-Value,0
47,135332,68.06,5,31,Furniture,High-Value,1
54,120336,29.96,3,37,Groceries,Low-Value,1
40,55529,45.77,5,6,Beauty,Low-Value,0
56,133499,9.56,5,41,Beauty,Medium-Value,1
62,38452,89.81,1,15,Clothing,Low-Value,0
32,69393,93.54,8,42,Furniture,Low-Value,0
60,51174,97.98,5,49,Furniture,Low-Value,1
46,84450,86.86,5,26,Electronics,Medium-Value,1
53,55436,17.4,9,12,Electronics,Low-Value,0
30,67406,4.62,8,41,Beauty,Low-Value,0
49,83059,57.96,1,47,Clothing,Medium-Value,1
24,35954,91.26,3,14,Furniture,Low-Value,0
68,102722,17.74,7,1,Clothing,Low-Value,0
39,139747,0.7,1,17,Groceries,High-Value,1
45,32356,80.55,1,33,Furniture,Medium-Value,0
19,148128,7.68,5,29,Electronics,Low-Value,0
59,118499,41.37,9,45,Beauty,Low-Value,1
62,22187,67.89,6,31,Clothing,Medium-Value,1
23,97243,23.68,2,8,Electronics,Low-Value,0
45,55098,8.4,9,30,Beauty,High-Value,0
45,112471,77.0,6,13,Electronics,Medium-Value,1
61,41225,63.02,5,16,Furniture,High-Value,0
61,23606,98.85,5,2,Clothing,High-Value,1
37,148664,34.43,3,45,Groceries,Medium-Value,0
47,77620,6.18,6,18,Electronics,Medium-Value,1
28,52828,73.44,4,35,Clothing,High-Value,0
45,146270,52.17,2,45,Furniture,Medium-Value,1
42,46489,21.32,3,19,Electronics,Low-Value,0
56,34387,78.17,9,13,Furniture,Medium-Value,1
50,89463,20.38,9,4,Groceries,Low-Value,1
18,91832,26.07,6,19,Groceries,Medium-Value,1
44,115980,9.25,9,25,Beauty,Medium-Value,1
69,131926,39.94,4,38,Beauty,High-Value,1
30,132429,41.89,5,31,Beauty,Medium-Value,0
58,22591,51.46,6,36,Furniture,High-Value,1
20,143446,70.9,9,4,Beauty,Low-Value,1
56,130431,90.61,5,39,Clothing,Low-Value,1
23,68516,13.77,8,7,Furniture,High-Value,1
25,111683,5.43,1,16,Furniture,Medium-Value,0
44,82061,1.85,5,48,Beauty,Medium-Value,0
26,124425,14.36,1,5,Beauty,Low-Value,1
54,86736,65.79,6,47,Furniture,Medium-Value,1
50,101257,72.75,7,23,Groceries,High-Value,1
68,81753,78.65,5,36,Groceries,Low-Value,1
59,104774,24.37,1,32,Beauty,Medium-Value,1
61,31087,30.59,6,24,Groceries,Low-Value,1
41,50816,48.31,5,25,Clothing,Low-Value,1
32,43408,6.32,6,45,Clothing,Medium-Value,1
49,144116,61.11,7,28,Clothing,Low-Value,1
49,125276,98.37,7,19,Furniture,Low-Value,1
41,20136,36.08,2,7,Furniture,Medium-Value,0
58,37413,75.28,3,44,Furniture,Medium-Value,0
69,133650,50.0,6,41,Furniture,Low-Value,1
66,79500,12.78,3,17,Furniture,High-Value,0
66,104514,58.22,2,2,Beauty,Low-Value,1
69,76358,29.99,4,16,Groceries,High-Value,0
29,86197,3.44,5,39,Beauty,Medium-Value,1
56,120776,63.49,9,18,Groceries,Low-Value,1
19,112789,85.89,3,39,Beauty,Low-Value,1
20,112420,34.48,3,1,Clothing,Low-Value,0
66,52854,39.03,6,3,Electronics,Low-Value,0
54,96240,89.1,5,21,Furniture,Medium-Value,1
66,124523,81.36,6,30,Electronics,Low-Value,1
34,149494,71.5,7,11,Electronics,Low-Value,1
66,110063,24.88,3,22,Clothing,Medium-Value,0
19,36322,91.02,5,47,Electronics,Low-Value,1
19,133053,15.44,8,25,Electronics,Medium-Value,1
45,26968,62.68,4,3,Clothing,Low-Value,1
40,47518,2.88,2,30,Groceries,Medium-Value,0
54,71925,64.37,4,24,Beauty,Medium-Value,1
49,79848,27.71,2,45,Electronics,Medium-Value,0
50,131900,44.97,3,36,Furniture,Low-Value,0
18,113422,34.53,4,23,Clothing,Low-Value,0
36,21700,17.28,4,8,Electronics,Low-Value,0
19,113782,62.2,9,4,Groceries,Low-Value,1
61,121004,88.2,6,39,Groceries,Low-Value,1
43,43199,95.91,9,43,Furniture,Medium-Value,1
49,64589,19.23,4,31,Electronics,Medium-Value,1
23,52115,71.74,9,29,Furniture,High-Value,1
49,81934,66.43,9,36,Groceries,Medium-Value,1
21,136335,34.34,6,13,Groceries,Medium-Value,1
28,140726,1.91,5,41,Beauty,High-Value,1
34,74316,68.98,3,9,Groceries,Medium-Value,1
55,25520,94.55,5,21,Clothing,Medium-Value,0
41,129814,63.21,3,3,Beauty,High-Value,1
22,56455,43.53,5,25,Furniture,High-Value,0
69,135284,52.52,5,25,Groceries,Medium-Value,1
51,106465,19.96,2,12,Clothing,Medium-Value,1
23,143364,75.05,9,29,Beauty,Medium-Value,1
39,61605,74.64,7,11,Clothing,Medium-Value,0
28,34955,14.55,6,11,Beauty,High-Value,1
65,64049,87.8,5,49,Beauty,Low-Value,0
33,33917,26.92,4,26,Beauty,High-Value,0
50,90293,98.23,8,14,Furniture,Medium-Value,1
26,98581,38.29,2,16,Beauty,Low-Value,0
23,139072,17.79,8,10,Beauty,Medium-Value,1
33,84925,35.17,1,31,Clothing,Medium-Value,1
46,127216,44.02,1,31,Beauty,Low-Value,0
20,90269,6.93,3,36,Furniture,High-Value,0
37,50954,57.82,5,10,Clothing,Medium-Value,1
53,116671,59.76,6,26,Beauty,Medium-Value,1
36,92617,73.89,4,20,Clothing,High-Value,1
43,61458,2.92,7,44,Furniture,High-Value,1
20,109037,54.12,7,9,Clothing,High-Value,1
36,41113,5.29,2,15,Furniture,Medium-Value,0
37,119977,70.11,2,9,Groceries,Medium-Value,1
49,132622,5.57,2,7,Beauty,Low-Value,0
24,145947,91.17,2,26,Furniture,Medium-Value,1
69,110226,70.21,9,24,Beauty,High-Value,1
58,63939,50.74,5,12,Furniture,Medium-Value,1
50,49345,44.15,8,20,Electronics,Low-Value,1
57,144616,13.07,5,14,Electronics,Low-Value,1
56,66313,29.1,5,22,Electronics,High-Value,1
35,130107,86.9,1,16,Furniture,High-Value,0
57,141866,90.45,6,29,Beauty,Medium-Value,1
18,112365,0.07,4,32,Electronics,Medium-Value,1
28,120598,59.41,3,19,Beauty,Low-Value,1
45,89166,71.93,6,35,Furniture,Medium-Value,1
42,67861,61.87,2,43,Beauty,Medium-Value,1
67,117406,8.17,8,32,Beauty,Medium-Value,1
40,69298,21.77,1,20,Electronics,Low-Value,1
48,67221,25.03,9,40,Clothing,Medium-Value,0
47,64942,83.17,8,20,Groceries,Low-Value,0
59,23453,46.32,1,8,Furniture,High-Value,0
52,122811,48.68,9,35,Furniture,High-Value,1
24,74935,93.49,2,42,Furniture,High-Value,0
33,142439,63.71,3,13,Groceries,High-Value,1
43,63370,89.87,2,41,Clothing,Medium-Value,1
65,123932,45.65,8,6,Beauty,Low-Value,1
69,28328,14.94,2,47,Furniture,Medium-Value,0
66,35534,92.99,2,16,Beauty,Low-Value,1
19,105280,45.87,1,5,Electronics,Medium-Value,1
18,104925,18.16,7,45,Electronics,Low-Value,1
65,56320,30.24,2,34,Electronics,Medium-Value,0
29,69170,5.08,5,6,Furniture,Medium-Value,0
22,120546,46.83,5,33,Groceries,Low-Value,0
54,100201,85.31,3,15,Furniture,Low-Value,1
49,148935,93.36,3,15,Electronics,Medium-Value,1
26,141006,93.26,3,14,Electronics,Medium-Value,1
58,123401,12.52,6,39,Furniture,Medium-Value,0
52,28640,38.21,4,5,Groceries,Low-Value,0
36,120252,2.82,3,26,Groceries,Medium-Value,1
65,111057,85.52,2,48,Beauty,Medium-Value,0
33,50049,35.88,3,17,Clothing,Medium-Value,0
20,25618,63.11,4,43,Electronics,Low-Value,1
37,122540,71.49,6,47,Groceries,High-Value,1
41,76053,42.98,4,16,Electronics,Low-Value,0
50,21920,30.64,8,35,Clothing,Low-Value,0
41,63937,96.22,3,38,Electronics,Medium-Value,0
69,89724,96.45,3,23,Groceries,Low-Value,1
28,32207,28.94,3,13,Beauty,High-Value,0
66,85774,47.96,8,33,Furniture,Low-Value,0
25,52972,97.28,4,29,Furniture,Low-Value,1
53,30799,0.49,1,46,Groceries,Low-Value,0
55,91088,41.27,2,34,Groceries,Medium-Value,1
57,48916,10.05,2,34,Clothing,Low-Value,0
37,90463,50.92,3,27,Electronics,Low-Value,0
52,113500,2.47,6,15,Clothing,Low-Value,0
65,96700,40.69,8,9,Furniture,Medium-Value,1
42,57158,22.07,1,26,Electronics,Medium-Value,0
52,104607,53.33,9,3,Clothing,Medium-Value,1
42,139639,99.6,1,36,Furniture,Medium-Value,1
46,133945,80.05,2,47,Electronics,Low-Value,0
35,91696,84.56,3,5,Beauty,High-Value,1
63,81510,63.53,7,20,Beauty,Medium-Value,1
35,140076,4.16,9,20,Clothing,Low-Value,0
19,78692,20.68,3,5,Groceries,Medium-Value,0
52,81744,92.51,8,10,Electronics,Medium-Value,1
33,35810,36.61,9,16,Clothing,Low-Value,0
58,25126,10.36,7,25,Groceries,Low-Value,0
53,50009,70.24,4,44,Groceries,Low-Value,0
50,119120,29.95,4,25,Electronics,High-Value,1
21,131718,26.89,4,30,Electronics,Low-Value,0
50,110932,99.8,6,14,Groceries,Medium-Value,1
31,20192,85.81,4,22,Furniture,Low-Value,0
38,136464,40.79,5,43,Clothing,Low-Value,1
65,56413,98.03,9,28,Electronics,Low-Value,0
37,32816,65.01,7,30,Groceries,Low-Value,1
25,59082,74.2,8,19,Furniture,Low-Value,1
24,85048,3.15,5,38,Beauty,Medium-Value,0
20,143130,12.16,5,42,Groceries,Medium-Value,0
34,70940,63.31,7,20,Furniture,Medium-Value,1
50,52130,89.9,8,35,Beauty,Low-Value,1
65,60142,62.37,9,22,Furniture,High-Value,1
29,149564,13.4,2,15,Electronics,High-Value,1
68,56468,11.58,3,11,Groceries,Low-Value,0
39,50698,84.42,2,34,Beauty,High-Value,1
39,30655,13.93,7,24,Furniture,Low-Value,0
63,67897,52.02,2,6,Beauty,Medium-Value,1
47,50075,3.71,2,17,Clothing,Low-Value,0
55,29359,8.07,2,28,Groceries,Medium-Value,1
55,149048,67.23,4,31,Electronics,Medium-Value,1
62,122197,68.92,1,36,Beauty,Low-Value,1
68,125115,34.15,2,9,Furniture,Medium-Value,1
25,62056,21.56,3,10,Beauty,Medium-Value,0
44,71831,81.37,7,21,Furniture,Medium-Value,1
44,79191,21.71,1,34,Beauty,High-Value,1
51,138592,54.2,6,31,Electronics,High-Value,1
38,141948,96.82,3,29,Electronics,High-Value,1
47,53272,14.79,3,43,Groceries,High-Value,0
50,128117,94.09,4,43,Electronics,Low-Value,1
45,34671,18.29,4,11,Beauty,Low-Value,0
64,47048,56.74,7,33,Beauty,Low-Value,0
50,96274,37.7,3,46,Electronics,High-Value,0
22,45963,96.49,8,1,Clothing,Low-Value,1
65,63954,27.35,8,21,Beauty,Low-Value,1
36,92309,39.97,7,23,Groceries,Low-Value,0
21,122120,98.29,2,9,Clothing,Low-Value,1
52,115430,53.65,5,1,Electronics,Low-Value,1
66,20717,50.26,6,21,Furniture,Medium-Value,1
34,31676,25.78,4,22,Beauty,Low-Value,0
61,24434,70.14,5,4,Furniture,Medium-Value,0
45,69810,1.44,9,1,Groceries,High-Value,0
47,123361,4.95,7,10,Clothing,Medium-Value,1
46,138696,59.94,2,15,Furniture,Low-Value,1
63,114636,34.17,1,36,Groceries,High-Value,1
23,24994,95.33,2,29,Furniture,Medium-Value,1
52,24234,90.32,3,46,Furniture,Low-Value,0
58,89300,71.37,2,5,Groceries,Medium-Value,1
54,63949,81.81,3,29,Beauty,Medium-Value,1
41,57405,66.73,9,47,Furniture,Medium-Value,1
46,54872,12.56,4,47,Groceries,Low-Value,0
66,62215,76.55,9,27,Furniture,Medium-Value,1
63,43185,21.02,3,25,Beauty,Medium-Value,0
48,63442,32.34,1,16,Groceries,Low-Value,0
52,143263,81.92,5,16,Furniture,Medium-Value,1
50,71759,53.65,2,36,Electronics,Low-Value,1
69,61153,85.99,4,25,Beauty,Medium-Value,1
38,97535,21.3,2,41,Furniture,Low-Value,1
49,122023,60.78,2,1,Clothing,Low-Value,1
40,22581,8.38,3,5,Groceries,High-Value,0
50,71717,64.31,5,41,Furniture,Medium-Value,1
20,22763,76.25,4,20,Beauty,Low-Value,0
35,112910,58.49,2,5,Beauty,Medium-Value,0
42,75480,26.62,2,36,Clothing,Medium-Value,0
59,58759,3.13,6,29,Clothing,High-Value,1
48,96067,11.94,7,48,Furniture,Medium-Value,1
20,138094,62.23,6,34,Electronics,Medium-Value,1
57,45307,93.44,7,48,Beauty,High-Value,1
63,116371,20.65,1,18,Electronics,Medium-Value,0
41,31064,73.5,6,2,Electronics,Low-Value,1
67,96848,86.65,3,16,Furniture,Medium-Value,1
49,57548,52.09,1,29,Groceries,Medium-Value,1
64,56945,66.93,8,33,Groceries,Medium-Value,1
39,67937,81.5,4,16,Groceries,Low-Value,1
40,26476,26.07,8,35,Clothing,Medium-Value,1
19,71756,29.69,4,47,Beauty,Low-Value,1
44,110101,0.06,4,43,Clothing,Low-Value,0
59,22382,96.31,4,42,Beauty,Low-Value,0
19,69683,91.75,6,17,Beauty,Medium-Value,1
43,107999,76.46,9,4,Beauty,Low-Value,1
34,65276,7.91,5,49,Furniture,Medium-Value,0
57,53402,44.75,8,4,Groceries,Medium-Value,1
50,111881,10.19,8,25,Clothing,Medium-Value,0
26,130300,1.59,4,33,Clothing,Medium-Value,0
60,46946,61.62,9,14,Furniture,Low-Value,0
65,99698,96.08,9,24,Beauty,Low-Value,1
56,134690,90.29,5,11,Groceries,High-Value,0
46,132309,69.68,6,25,Electronics,Medium-Value,1
59,93933,9.66,5,28,Electronics,Medium-Value,0
43,42335,27.42,3,7,Furniture,Medium-Value,0
52,65095,32.01,8,49,Groceries,Low-Value,0
67,99930,76.32,9,36,Electronics,Medium-Value,1
42,149974,80.22,4,10,Electronics,Low-Value,0
41,47197,38.51,9,49,Clothing,High-Value,1
30,147619,41.79,9,36,Groceries,Low-Value,1
24,42010,4.45,7,31,Electronics,Medium-Value,1
53,44123,28.91,8,19,Clothing,Low-Value,0
62,107923,45.13,3,18,Groceries,High-Value,0
37,22890,11.7,5,49,Beauty,High-Value,0
18,113305,45.33,3,6,Groceries,Low-Value,1
25,129162,85.32,7,28,Furniture,Low-Value,1
63,140927,58.13,6,7,Clothing,Low-Value,1
33,28026,7.89,3,38,Beauty,Medium-Value,0
31,84925,19.17,9,12,Clothing,Low-Value,0
29,88842,47.45,1,41,Clothing,Medium-Value,1
68,53665,36.15,3,34,Electronics,Low-Value,0
40,29277,35.87,7,25,Groceries,Medium-Value,0
32,62239,52.93,3,17,Clothing,Medium-Value,1
45,67664,58.44,3,33,Clothing,Medium-Value,1
51,68008,79.69,2,23,Furniture,Medium-Value,1
19,34683,34.1,9,9,Furniture,Low-Value,1
49,20670,80.55,4,6,Furniture,Medium-Value,0
40,109211,33.86,6,2,Clothing,Medium-Value,0
39,37889,5.54,2,38,Beauty,Medium-Value,0
68,75612,55.42,9,9,Groceries,Low-Value,1
42,64535,58.79,7,3,Clothing,Medium-Value,0
39,98542,93.45,5,16,Electronics,High-Value,1
39,74319,72.61,7,25,Beauty,High-Value,0
66,134072,91.78,4,24,Beauty,Medium-Value,1
69,112067,90.83,7,47,Groceries,Medium-Value,1
59,41639,60.46,2,29,Beauty,Low-Value,0
23,84712,52.78,7,44,Groceries,Low-Value,1
32,36633,55.74,4,40,Beauty,Medium-Value,0
60,141145,97.83,4,26,Groceries,Low-Value,1
54,54660,77.32,1,38,Furniture,Low-Value,1
50,88975,10.63,3,35,Furniture,High-Value,0
25,52172,77.84,5,23,Beauty,High-Value,1
61,79197,17.05,5,4,Beauty,High-Value,1
61,121158,44.74,2,42,Groceries,Low-Value,1
22,78847,21.05,4,14,Groceries,High-Value,0
56,31577,68.96,1,47,Clothing,Low-Value,1
21,97299,87.73,9,39,Furniture,Medium-Value,1
23,40176,29.04,1,7,Clothing,Medium-Value,0
62,64386,8.2,6,8,Clothing,Medium-Value,1
49,83972,29.85,7,42,Electronics,High-Value,0
69,140018,67.24,3,19,Groceries,Low-Value,1
47,109791,32.88,1,2,Electronics,Medium-Value,1
64,61003,27.81,7,47,Electronics,Low-Value,0
52,39996,18.44,3,1,Clothing,High-Value,1
57,120922,49.75,6,42,Electronics,Medium-Value,0
69,106598,27.59,6,38,Groceries,Medium-Value,1
33,55931,73.1,4,13,Clothing,Medium-Value,0
30,144168,7.66,6,42,Groceries,Medium-Value,1
67,55710,66.4,4,44,Beauty,Medium-Value,0
59,143099,23.76,8,24,Electronics,Low-Value,0
47,54693,48.93,9,32,Clothing,Medium-Value,1
36,55740,28.61,2,30,Furniture,High-Value,0
34,97241,72.28,7,6,Groceries,High-Value,1
36,128944,94.53,9,38,Electronics,Low-Value,1
45,113583,91.71,9,33,Groceries,Low-Value,1
43,96502,58.34,5,44,Groceries,Medium-Value,1
54,37374,46.26,1,23,Beauty,Medium-Value,1
43,96674,81.83,6,10,Groceries,Low-Value,1
40,136500,68.33,8,46,Beauty,Medium-Value,1
26,101471,18.36,1,15,Beauty,High-Value,0
29,65913,82.09,2,23,Beauty,Medium-Value,0
18,143683,42.89,1,36,Electronics,Low-Value,0
18,86025,18.9,5,1,Groceries,High-Value,0
64,64516,28.18,2,8,Groceries,Medium-Value,0
51,107796,26.75,4,3,Beauty,Medium-Value,1
49,46069,51.92,1,14,Groceries,Low-Value,1
65,138333,23.44,7,17,Groceries,Medium-Value,1
42,76233,12.36,8,34,Beauty,Medium-Value,1
57,104811,12.37,5,47,Furniture,Medium-Value,0
62,79049,58.33,2,6,Furniture,Low-Value,1
18,121820,73.48,8,5,Beauty,Medium-Value,1
33,138028,32.15,1,46,Electronics,Low-Value,1
56,59178,3.47,7,41,Groceries,Low-Value,0
22,52821,12.72,1,40,Groceries,Medium-Value,1
39,71727,91.47,6,29,Furniture,High-Value,1
46,80935,49.35,6,35,Beauty,Low-Value,1
20,36999,45.36,5,18,Electronics,Low-Value,0
29,82522,3.8,2,40,Beauty,Medium-Value,0
43,58712,72.86,2,48,Furniture,Medium-Value,0
33,84551,52.81,9,30,Furniture,Medium-Value,1
68,60172,20.21,5,15,Groceries,Low-Value,0
54,53722,11.01,5,15,Clothing,Low-Value,0
39,30625,38.34,7,16,Electronics,Medium-Value,1
46,87165,83.72,6,33,Electronics,Medium-Value,1
31,96509,86.53,2,10,Clothing,High-Value,1
45,26859,60.28,1,19,Furniture,Medium-Value,1
22,61609,72.75,5,37,Beauty,Medium-Value,0
64,63307,11.52,4,3,Electronics,High-Value,0
66,130986,58.81,3,36,Clothing,Low-Value,1
47,121582,66.7,2,4,Groceries,Medium-Value,1
63,41839,20.07,2,11,Groceries,Low-Value,0
69,47216,88.02,4,41,Furniture,Low-Value,1
22,72953,19.5,2,33,Electronics,Low-Value,0
29,104481,31.35,4,28,Beauty,Low-Value,1
33,80593,62.06,3,32,Electronics,High-Value,0
43,92075,63.84,9,16,Groceries,Medium-Value,1
43,69522,69.94,7,9,Electronics,High-Value,0
65,119161,11.2,3,11,Groceries,Medium-Value,0
38,24886,84.95,8,6,Clothing,Medium-Value,1
56,131249,53.28,9,49,Clothing,Low-Value,1
